customer_id,first_name,last_name,email,country,signup_date
1001,John,Smith,john.smith@email.com,USA,2025-01-15
1002,Sarah,Johnson,sarah.johnson@email.com,Canada,2025-01-20
1003,Michael,Williams,michael.williams@email.com,USA,2025-02-02
1004,Emily,Brown,emily.brown@email.com,UK,2025-02-10
1005,David,Jones,david.jones@email.com,USA,2025-02-18
1006,Jessica,Garcia,jessica.garcia@email.com,Spain,2025-02-25
1007,Daniel,Miller,daniel.miller@email.com,USA,2025-03-01
1008,Ashley,Davis,ashley.davis@email.com,Canada,2025-03-05
1009,Robert,Wilson,robert.wilson@email.com,USA,2025-03-10
1010,Jennifer,Moore,jennifer.moore@email.com,UK,2025-03-15
